query	no	token	pos
전주 여행	3	을	JKO
전주 여행	3	하	VV
전주 여행	3	셨	EP+EP
전주 여행	3	네요	EF
전주 여행	3	전	NP+JX
전주 여행	3	주	VX
전주 여행	3	는	ETM
전주 여행	3	한옥마을	NNP
전주 여행	3	과	JKB
전주 여행	3	함께	MAG
전주 여행	3	멋진	VA+ETM
전주 여행	3	자연	NNG
전주 여행	3	경관	NNG
전주 여행	3	맛있	VA
전주 여행	3	는	ETM
전주 여행	3	음식	NNG
전주 여행	3	이	JKS
전주 여행	3	가득	MAG
전주 여행	3	한	XSA+ETM
전주 여행	3	동네	NNG
전주 여행	3	이	VCP
전주 여행	3	니	EC
전주 여행	3	정말	MAG
전주 여행	3	즐거운	VA+ETM
전주 여행	3	시간	NNG
전주 여행	3	을	JKO
전주 여행	3	보낼	VV+ETM
전주 여행	3	수	NNB
전주 여행	3	있	VV
전주 여행	3	을	ETM
전주 여행	3	거	NNB
전주 여행	3	예요	VCP+EF
전주 여행	3	우선	MAG
전주 여행	3	한옥	NNG
전주 여행	3	마을	NNG
전주 여행	3	근처	NNG
전주 여행	3	에서	JKB
전주 여행	3	가	VV
전주 여행	3	볼	EC+VX+ETM
전주 여행	3	수	NNB
전주 여행	3	있	VV
전주 여행	3	는	ETM
전주 여행	3	장소	NNG
전주 여행	3	로	JKB
전주 여행	3	는	JX
전주 여행	4	중	NNG
전주 여행	4	2	SN
전주 여행	4	여학생	NNG
전주 여행	4	친구	NNG
전주 여행	4	와	JC
전주 여행	4	안녕	NNG
전주 여행	4	하	XSV
전주 여행	4	세요	EP+EF
전주 여행	4	중	NNB
전주 여행	4	2	SN
전주 여행	4	15	SN
전주 여행	4	살	NNBC
전주 여행	4	여학생	NNG
전주 여행	4	입니다	VCP+EF
전주 여행	4	친한	VA+ETM
전주 여행	4	친구	NNG
전주 여행	4	와	JC
전주 여행	4	둘	NR
전주 여행	4	이	XSN
전주 여행	4	서	JKS
전주 여행	4	을	JKO
전주 여행	4	가	VV
전주 여행	4	기	ETN
전주 여행	4	로	JKB
전주 여행	4	했	VV+EP
전주 여행	4	는데	EC
전주 여행	4	어디	NP
전주 여행	4	로	JKB
전주 여행	4	가	VV
전주 여행	4	야	EC
전주 여행	4	할지	VX+EC
전주 여행	4	를	JKO
전주 여행	4	몰라서	VV+EC
전주 여행	4	너무	MAG
전주 여행	4	막막	XR
전주 여행	4	합니다	XSA+EF
전주 여행	4	저희	NP
전주 여행	4	둘	NR
전주 여행	4	다	MAG
전주 여행	4	일본	NNP
전주 여행	4	애니	NNP
전주 여행	4	를	JKO
전주 여행	4	너무	MAG
전주 여행	4	좋	VA
전주 여행	4	아	EC
전주 여행	4	하	VV
전주 여행	4	는데	EC
전주 여행	4	에	JKB
전주 여행	4	오타쿠	NNP
전주 여행	4	들	XSN
전주 여행	4	이	JKS
전주 여행	4	갈만	NNG
전주 여행	4	할	XSV+ETM
전주 여행	4	곳	NNB
전주 여행	4	있	VV
전주 여행	4	을까요	EC
전주 여행	4	제발	MAG
전주 여행	4	알려	VV+EC
전주 여행	4	주	VX
전주 여행	4	세요	EP+EF
전주 여행	5	부모	NNG
전주 여행	5	닝	NNP
전주 여행	5	모시	VV
전주 여행	5	고	EC
전주 여행	5	부모	NNG
전주 여행	5	님	XSN
전주 여행	5	모시	VV
전주 여행	5	고	EC
전주 여행	5	가	VV
전주 여행	5	려는데	EC
전주 여행	5	명소	NNG
전주 여행	5	식당	NNG
전주 여행	5	추천	NNG
전주 여행	5	부탁	NNG
전주 여행	5	드립니다	VV+EC
전주 여행	5	는	JX
전주 여행	5	한옥마을	NNP
전주 여행	5	로	JKB
전주 여행	5	유명	XR
전주 여행	5	한	XSA+ETM
전주 여행	5	완산구	NNP
전주 여행	5	가	JKS
전주 여행	5	있	VA
전주 여행	5	으며	EC
전주 여행	5	덕진구	NNP
전주 여행	5	또한	MAJ
전주 여행	5	멋진	VA+ETM
전주 여행	5	추억	NNG
전주 여행	5	을	JKO
전주 여행	5	가진	VV+ETM
전주 여행	5	장소	NNG
전주 여행	5	가	JKS
전주 여행	5	많이	MAG
전주 여행	6	2	SN
전주 여행	6	박	NNBC
전주 여행	6	3	SN
전주 여행	6	일	NNBC
전주 여행	6	이번	NNG
전주 여행	6	주	NNG
전주 여행	6	토	NNG
전주 여행	6	월	NNG
전주 여행	6	2	SN
전주 여행	6	박	NNBC
전주 여행	6	3	SN
전주 여행	6	일	NNBC
전주 여행	6	여자	NNG
전주 여행	6	친구	NNG
전주 여행	6	와	JC
전주 여행	6	을	JKO
전주 여행	6	가	VV
전주 여행	6	는데	EC
전주 여행	6	경로	NNG
전주 여행	6	좀	MAG
전주 여행	6	알려	VV+EC
전주 여행	6	주	VX
전주 여행	6	세요	EP+EF
전주 여행	6	토요일	NNG
전주 여행	6	엔	JKB+JX
전주 여행	6	비	NNG
전주 여행	6	가	JKS
전주 여행	6	온다고	VV+EC
전주 여행	6	하	VV
전주 여행	6	는데	EC
전주 여행	6	실내	NNG
전주 여행	6	데이트	NNG
전주 여행	6	가능	NNG
전주 여행	6	한	XSA+ETM
전주 여행	6	곳	NNG
전주 여행	6	도	JX
전주 여행	6	알려	VV+EC
전주 여행	6	주	VX
전주 여행	6	시	EP
전주 여행	6	면	EC
전주 여행	6	감사	NNG
전주 여행	6	하	XSV
전주 여행	6	겠	EP
전주 여행	6	습니다	EF
전주 여행	6	숙소	NNG
전주 여행	6	는	JX
전주 여행	6	한옥	NNG
전주 여행	6	마을	NNG
전주 여행	6	근처	NNG
전주 여행	6	에	JKB
전주 여행	6	잡	VV
전주 여행	6	았	EP
전주 여행	6	습니다	EF
전주 여행	6	토	NNP
전주 여행	6	한옥마을	NNP
전주 여행	6	구경	NNG
전주 여행	6	후	NNG
전주 여행	7	1	SN
전주 여행	7	박	NNBC
전주 여행	7	2	SN
전주 여행	7	일	NNBC
전주 여행	7	저녁	NNG
전주 여행	7	엔	JKB+JX
전주 여행	7	전	MM
전주 여행	7	주천	NNG
전주 여행	7	산책	NNG
전주 여행	7	길	NNG
전주 여행	7	따라	VV+EC
전주 여행	7	걷	VV
전주 여행	7	거나	EC
전주 여행	7	한옥	NNG
전주 여행	7	마을	NNG
전주 여행	7	근처	NNG
전주 여행	7	에서	JKB
전주 여행	7	야경	NNG
전주 여행	7	즐기	VV
전주 여행	7	시	EP
전주 여행	7	는	ETM
전주 여행	7	것	NNB
전주 여행	7	도	JX
전주 여행	7	너무	MAG
전주 여행	7	좋	VA
전주 여행	7	답니다	EF
전주 여행	7	혹시	MAG
전주 여행	7	일정	NNG
전주 여행	7	이나	JC
전주 여행	7	관심	NNG
전주 여행	7	있	VA
전주 여행	7	는	ETM
전주 여행	7	테마	NNG
전주 여행	7	사진	NNG
전주 여행	7	카페	NNG
전주 여행	7	체험	NNG
전주 여행	7	등	NNB
전주 여행	7	더	MAG
전주 여행	7	알려	VV+EC
전주 여행	7	주	VX
전주 여행	7	시	EP
전주 여행	7	면	EC
전주 여행	7	맞춤	VV+EC
전주 여행	7	추천	NNG
전주 여행	7	도	JX
전주 여행	7	해	VV+EC
전주 여행	7	드릴	VX+ETM
전주 여행	7	수	NNB
전주 여행	7	있	VV
전주 여행	7	어요	EF
전주 여행	7	즐거운	VA+ETM
전주 여행	7	되	XSV
전주 여행	7	시	EP
전주 여행	7	길	ETN+JKO
전주 여행	7	바랄	VV+ETM
전주 여행	7	게요	NNB+VCP+EC
전주 여행	8	코스	NNG
전주 여행	8	추천	NNG
전주 여행	8	이	VCP
전주 여행	8	요	EC
전주 여행	8	~!	SY
전주 여행	8	영화제	NNG
전주 여행	8	기간	NNG
전주 여행	8	일정	NNG
전주 여행	8	으로	JKB
전주 여행	8	2	SN
전주 여행	8	박	NNBC
전주 여행	8	3	SN
전주 여행	8	일	NNBC
전주 여행	8	좀	MAG
전주 여행	8	가	VV
전주 여행	8	볼까	EC+VX+EC
전주 여행	8	해서	VV+EC
전주 여행	8	요	MM
전주 여행	8	코스	NNG
전주 여행	8	추천	NNG
전주 여행	8	좀	MAG
전주 여행	8	해	VV+EC
전주 여행	8	주	VX
전주 여행	8	세요	EP+EF
전주 여행	8	어차피	MAG
전주 여행	8	주목적	NNG
전주 여행	8	은	JX
전주 여행	8	전주국	NNG
전주 여행	8	제	XSN
전주 여행	8	영화제	NNG
전주 여행	8	니까	VCP+EC
전주 여행	8	많	VA
전주 여행	8	은	ETM
전주 여행	8	곳	NNG
전주 여행	8	을	JKO
전주 여행	8	둘러보	VV
전주 여행	8	지	EC
전주 여행	8	는	JX
전주 여행	8	못	MAG
전주 여행	8	할	VV+ETM
전주 여행	8	거	NNB
전주 여행	8	에요	VCP+EF
전주 여행	8	그냥	MAG
전주 여행	8	하	XSV
전주 여행	8	면	EC
전주 여행	8	꼭	MAG
전주 여행	8	가	VV
전주 여행	8	볼	EC+VX+ETM
전주 여행	8	만	NNB
전주 여행	8	한	XSA+ETM
전주 여행	8	곳	NNG
전주 여행	8	알짜배기	NNG
전주 여행	8	만	JX
전주 여행	8	추천	NNG
전주 여행	8	해	XSV+EC
전주 여행	8	주	VX
전주 여행	8	세	VA
전주 여행	8	욜	EC
전주 여행	9	전	NNG
전주 여행	9	주로	MAG
전주 여행	9	커플	NNG
전주 여행	9	가	VV
전주 여행	9	려고	EC
전주 여행	9	하	VV
전주 여행	9	는데	EC
전주 여행	9	추천	NNG
전주 여행	9	좀	MAG
전주 여행	9	해	VV+EC
전주 여행	9	주	VX
전주 여행	9	세요	EP+EF
전주 여행	9	숙소	NNG
전주 여행	9	는	JX
전주 여행	9	잡	VV
전주 여행	9	았	EP
전주 여행	9	고	EC
전주 여행	9	놀	VX+ETM
전주 여행	9	거리	NNG
전주 여행	9	랑	JKB
전주 여행	9	맛집	NNG
전주 여행	9	등등	NNB
전주 여행	9	추천	NNG
전주 여행	9	해	XSV+EC
전주 여행	9	주	VX
전주 여행	9	시	EP
전주 여행	9	면	EC
전주 여행	9	감사	NNG
전주 여행	9	하	XSV
전주 여행	9	겠	EP
전주 여행	9	습니다	EF
전주 여행	9	한옥마을	NNP
전주 여행	9	은	JX
전주 여행	9	갈	VV+ETM
전주 여행	9	겁니다	NNB+VCP+EF
전주 여행	9	답변	NNG
전주 여행	9	이	JKS
전주 여행	9	도움	NNG
전주 여행	9	되	XSV
전주 여행	9	셨	EP+EP
전주 여행	9	으면	EC
전주 여행	9	좋	VA
전주 여행	9	겠	EP
전주 여행	9	습니다	EF
전주 여행	9	한옥마을	NNP
전주 여행	9	한옥마을	NNP
전주 여행	9	맛집	NNG
전주 여행	9	놀	VV
전주 여행	9	거리	EC
전주 여행	9	추천	NNG
전주 여행	10	추석	NNG
전주 여행	10	16	SN
전주 여행	10	18	SN
전주 여행	10	일	NNBC
전주 여행	10	로	JKB
전주 여행	10	가	VV
전주 여행	10	려고	EC
전주 여행	10	하	VV
전주 여행	10	는데	EC
전주 여행	10	그때	NNG
전주 여행	10	한옥마을	NNP
전주 여행	10	같	VA
전주 여행	10	은	ETM
전주 여행	10	관광지	NNG
전주 여행	10	들	XSN
전주 여행	10	은	JX
전주 여행	10	문	NNG
전주 여행	10	닫	VV
전주 여행	10	을까요	EC
전주 여행	10	추석	NNG
전주 여행	10	당일	NNG
전주 여행	10	은	JX
전주 여행	10	문	NNG
전주 여행	10	을	JKO
전주 여행	10	닫	VV
전주 여행	10	습니다	EF
전주 여행	10	에도	NNP
전주 여행	10	이벤트	NNG
전주 여행	10	가	JKS
전주 여행	10	진행	NNG
전주 여행	10	중	NNB
전주 여행	10	입니다	VCP+EC
전주 여행	10	8	SN
전주 여행	10	27	SN
전주 여행	10	화	NNG
전주 여행	10	10	SN
전주 여행	10	13	SN
전주 여행	10	일	NNBC
전주 여행	10	한국	NNP
전주 여행	10	관광공사	NNP
전주 여행	10	에서	JKB
전주 여행	10	숙박	NNG
전주 여행	10	세일	NNG
전주 여행	10	페스타	NNP
전주 여행	10	이벤트	NNG
전주 여행	10	가	JKS
전주 여행	10	진행	NNG
전주 여행	10	중	NNB
전주 여행	10	입니다	VCP+EC
전주 여행	10	3	SN
전주 여행	10	만	NR
전주 여행	10	원	NNBC
전주 여행	11	전	NNG
전주 여행	11	연령	NNG
전주 여행	11	렌트카	NNG
전주 여행	11	추천	NNG
전주 여행	11	이번	NNG
전주 여행	11	에	JKB
전주 여행	11	2	SN
전주 여행	11	박	NNBC
전주 여행	11	3	SN
전주 여행	11	일	NNBC
전주 여행	11	로	JKB
전주 여행	11	가	VV
전주 여행	11	는	ETM
전주 여행	11	저	NP
전주 여행	11	는	JX
전주 여행	11	21	SN
전주 여행	11	살	NNBC
전주 여행	11	만	NNB
전주 여행	11	으로	JKB
전주 여행	11	만	MM
전주 여행	11	19	SN
전주 여행	11	세	NNBC
전주 여행	11	입니다	VCP+EF
전주 여행	11	전	NNG
전주 여행	11	연령	NNG
전주 여행	11	자동차	NNG
전주 여행	11	추천	NNG
전주 여행	11	좀	MAG
전주 여행	11	부탁	NNG
전주 여행	11	드리	VV
전주 여행	11	겠	EP
전주 여행	11	습니다	EF
전주 여행	11	그리고	MAJ
전주 여행	11	가격	NNG
전주 여행	11	도	JX
전주 여행	11	2	SN
전주 여행	11	일	NNBC
전주 여행	11	렌트	NNG
전주 여행	11	하	XSV
전주 여행	11	면	EC
전주 여행	11	총	MM
전주 여행	11	어느	MM
전주 여행	11	정도	NNG
전주 여행	11	나올까요	VV+EF
전주 여행	11	전	MM
전주 여행	11	주	NNG
전주 여행	11	에서	JKB
전주 여행	11	21	SN
전주 여행	11	세	NNBC
전주 여행	11	이상	NNG
전주 여행	11	렌트	NNG
전주 여행	11	가능	NNG
전주 여행	11	한	XSA+ETM
전주 여행	11	자동차	NNG
전주 여행	11	를	JKO
전주 여행	11	찾아보	VV
전주 여행	11	세요	EP+EF
전주 여행	11	가격	NNG
전주 여행	11	은	JX
전주 여행	12	-	SY
전주 여행	12	포항	NNP
전주 여행	12	에서	JKB
전주 여행	12	포항	NNP
전주 여행	12	까지	JX
전주 여행	12	기차	NNG
전주 여행	12	가	JKS
전주 여행	12	나	VV
전주 여행	12	을까요	EC
전주 여행	12	버스	NNG
전주 여행	12	가	JKS
전주 여행	12	나	VV
전주 여행	12	을까요	EC
전주 여행	12	안녕	NNG
전주 여행	12	하	XSV
전주 여행	12	세요	EP+EF
전주 여행	12	전	MM
전주 여행	12	주	NNG
전주 여행	12	에서	JKB
전주 여행	12	포항	NNP
전주 여행	12	까지	JX
전주 여행	12	을	JKO
전주 여행	12	할	VV+ETM
전주 여행	12	때	NNG
전주 여행	12	기차	NNG
전주 여행	12	와	JC
전주 여행	12	버스	NNG
전주 여행	12	각각	MAG
전주 여행	12	장단점	NNG
전주 여행	12	이	JKS
전주 여행	12	있	VV
전주 여행	12	으므로	EC
전주 여행	12	어떤	MM
전주 여행	12	방법	NNG
전주 여행	12	이	JKS
전주 여행	12	더	MAG
전주 여행	12	나	VV
전주 여행	12	은지	EC
전주 여행	12	결정	NNG
전주 여행	12	하	XSV
전주 여행	12	는	ETM
전주 여행	12	데	NNB
전주 여행	12	있	VV
전주 여행	12	어	EC
전주 여행	12	몇	MM
전주 여행	12	가지	NNBC
전주 여행	12	요소	NNG
전주 여행	12	를	JKO
전주 여행	12	고려	NNG
전주 여행	12	할	XSV+ETM
전주 여행	12	필요	NNG
전주 여행	12	가	JKS
전주 여행	12	있	VA
전주 여행	12	습니다	EF
전주 여행	12	1	SN
전주 여행	13	펜션	NNG
전주 여행	13	한옥	NNG
전주 여행	13	으로	JKB
전주 여행	13	된	VV+ETM
전주 여행	13	곳	NNG
전주 여행	13	이	VCP
전주 여행	13	요	EF
전주 여행	13	!	SF
전주 여행	13	이번	NNG
전주 여행	13	에	JKB
전주 여행	13	남자	NNG
전주 여행	13	친구	NNG
전주 여행	13	랑	JKB
전주 여행	13	같이	MAG
전주 여행	13	2	SN
전주 여행	13	박	NNBC
전주 여행	13	3	SN
전주 여행	13	일	NNBC
전주 여행	13	가	VV
전주 여행	13	기	ETN
전주 여행	13	로	JKB
전주 여행	13	해서	VV+EC
전주 여행	13	얼른	MAG
전주 여행	13	펜션	NNG
전주 여행	13	알	VV
전주 여행	13	아	EC
전주 여행	13	봐야	VX+EC
전주 여행	13	하	VV
전주 여행	13	는데	EC
전주 여행	13	한옥	NNG
전주 여행	13	마을	NNG
전주 여행	13	근처	NNG
전주 여행	13	나	JC
전주 여행	13	한옥	NNG
전주 여행	13	느낌	MAG
전주 여행	13	나	NP
전주 여행	13	는	JX
전주 여행	13	펜션	NNG
전주 여행	13	쪽	NNB
전주 여행	13	으로	JKB
전주 여행	13	갈	VV+ETM
전주 여행	13	만	NNB
전주 여행	13	한	XSA+ETM
전주 여행	13	데	NNB
전주 여행	13	없	VA
전주 여행	13	을까요	EC
전주 여행	13	내부	NNG
전주 여행	13	는	JX
전주 여행	13	정감	NNG
전주 여행	13	있	VV
전주 여행	13	는	ETM
전주 여행	13	분위기	NNG
전주 여행	13	면	VCP+EC
전주 여행	13	다	MAG
전주 여행	13	좋	VA
전주 여행	13	을	ETM
전주 여행	13	것	NNB
전주 여행	13	같	VA
전주 여행	13	아요	EF
전주 여행	13	빠른	VA+ETM
전주 여행	13	답변	NNG
전주 여행	13	꼭	MAG
전주 여행	13	부탁	NNG
전주 여행	13	드	VV
전주 여행	13	랴	EC
전주 여행	13	용	NNG
전주 여행	14	주	VV
전주 여행	14	세요	EP+EF
전주 여행	14	전	NP+JX
전주 여행	14	주	VX
전주 여행	14	는	ETM
전주 여행	14	한옥마을	NNP
전주 여행	14	로	JKB
전주 여행	14	유명	XR
전주 여행	14	한	XSA+ETM
전주 여행	14	완산구	NNP
전주 여행	14	가	JKS
전주 여행	14	있	VA
전주 여행	14	으며	EC
전주 여행	14	덕진구	NNP
전주 여행	14	또한	MAJ
전주 여행	14	멋진	VA+ETM
전주 여행	14	추억	NNG
전주 여행	14	을	JKO
전주 여행	14	가진	VV+ETM
전주 여행	14	장소	NNG
전주 여행	14	가	JKS
전주 여행	14	많이	MAG
전주 여행	14	있	VA
전주 여행	14	습니다	EF
전주 여행	14	완산구	NNP
전주 여행	14	덕진구	NNP
전주 여행	14	에	JKB
전주 여행	14	대해서	VV+EC
전주 여행	14	지	NNG
전주 여행	14	를	JKO
전주 여행	15	뚜벅	MAG
전주 여행	15	이	MM
전주 여행	15	5	SN
전주 여행	15	월	NNBC
전주 여행	15	달	NNG
전주 여행	15	에	JKB
전주 여행	15	엄마	NNG
전주 여행	15	랑	JKB
전주 여행	15	로	JKB
전주 여행	15	뚜벅	MAG
전주 여행	15	이	MM
전주 여행	15	계획	NNG
전주 여행	15	중	NNB
전주 여행	15	인데	VCP+EC
전주 여행	15	답변	NNG
전주 여행	15	부탁	NNG
전주 여행	15	드려요	VV+EC
전주 여행	15	1	SN
전주 여행	15	기차	NNG
전주 여행	15	랑	JKB
전주 여행	15	고속버스	NNG
전주 여행	15	중	NNB
전주 여행	15	에	JKB
전주 여행	15	어떤	MM
전주 여행	15	걸	NNB+JKO
전주 여행	15	타	VV
전주 여행	15	는	ETM
전주 여행	15	게	NNB+JKS
전주 여행	15	좋	VA
전주 여행	15	을까요	EC
전주 여행	15	2	SN
전주 여행	15	에	IC
전주 여행	15	도착	NNG
전주 여행	15	해서	XSV+EC
전주 여행	15	관광	NNG
전주 여행	15	할	XSV+ETM
전주 여행	15	때	NNG
전주 여행	15	이용	NNG
전주 여행	15	할	XSV+ETM
전주 여행	15	수	NNB
전주 여행	15	있	VV
전주 여행	15	는	ETM
전주 여행	15	교통수단	NNG
전주 여행	15	은	JX
전주 여행	15	어떤	MM
전주 여행	15	게	NNB+JKS
전주 여행	15	있	VA
전주 여행	15	을까요	EC
전주 여행	15	3	SN
전주 여행	15	숙소	NNG
전주 여행	15	추천	NNG
전주 여행	15	도	JX
전주 여행	15	부탁드려요	VV+EF
전주 여행	15	서울	NNP
전주 여행	16	당일치기	NNG
전주 여행	16	요	NNG
전주 여행	16	어렵	VA
전주 여행	16	네요	EF
전주 여행	16	당일치기	NNG
전주 여행	16	을	JKO
전주 여행	16	계획	NNG
전주 여행	16	중	NNB
전주 여행	16	이	VCP
전주 여행	16	시	EP
전주 여행	16	군요	EF
전주 여행	16	역	NNG
전주 여행	16	에서	JKB
전주 여행	16	한옥마을	NNP
전주 여행	16	까지	JX
전주 여행	16	가	VV
전주 여행	16	는	ETM
전주 여행	16	방법	NNG
전주 여행	16	과	JC
전주 여행	16	당일치기	NNG
전주 여행	16	코스	NNG
전주 여행	16	를	JKO
전주 여행	16	알려	VV+EC
전주 여행	16	드릴게요	VX+EC
전주 여행	16	역	NNG
전주 여행	16	에서	JKB
전주 여행	16	한옥마을	NNP
전주 여행	16	까지	JX
전주 여행	16	가	VV
전주 여행	16	는	ETM
전주 여행	16	방법	NNG
전주 여행	16	으로	JKB
전주 여행	16	는	JX
전주 여행	16	택시	NNG
전주 여행	16	와	JC
전주 여행	16	버스	NNG
전주 여행	16	가	JKS
전주 여행	16	있	VA
전주 여행	16	어요	EF
전주 여행	16	역	NNG
전주 여행	16	에서	JKB
전주 여행	16	한옥마을	NNP
전주 여행	16	까지	JX
전주 여행	16	택시	NNG
전주 여행	16	를	JKO
전주 여행	17	2	SN
전주 여행	17	박	NNBC
전주 여행	17	3	SN
전주 여행	17	일	NNBC
전주 여행	17	경비	NNG
전주 여행	17	보통	NNG
전주 여행	17	2	SN
전주 여행	17	박	NNBC
전주 여행	17	3	SN
전주 여행	17	일	NNBC
전주 여행	17	경비	NNG
전주 여행	17	가	JKS
전주 여행	17	얼마	NNG
전주 여행	17	정도	NNG
전주 여행	17	드나	VV
전주 여행	17	요	EC
전주 여행	17	숙소	NNG
전주 여행	17	는	JX
전주 여행	17	1	SN
전주 여행	17	박	NNBC
전주 여행	17	에	JKB
전주 여행	17	13	SN
전주 여행	17	만	NR
전주 여행	17	원	NNBC
전주 여행	17	인데	VCP+EC
전주 여행	17	를	JKO
전주 여행	17	가	VV
전주 여행	17	려고	EC
전주 여행	17	하	VV
전주 여행	17	는	ETM
전주 여행	17	데	NNB
전주 여행	17	비싼	VA+ETM
전주 여행	17	건가요	NNB+VCP+EC
전주 여행	17	질문	NNG
전주 여행	17	에	JKB
전주 여행	17	도움	NNG
전주 여행	17	이	JKS
전주 여행	17	되	VV
전주 여행	17	는	ETM
전주 여행	17	답변	NNG
전주 여행	17	이	JKS
전주 여행	17	되	VV
전주 여행	17	셨	EP+EP
전주 여행	17	길	ETN+JKO
전주 여행	17	바래	VV
전주 여행	17	요	EC
전주 여행	17	2	SN
전주 여행	17	박	NNBC
전주 여행	17	3	SN
전주 여행	17	일	NNBC
전주 여행	17	예산	NNG
전주 여행	17	30	SN
전주 여행	17	만	NR
전주 여행	17	원	NNBC
전주 여행	17	내외	NNG
전주 여행	17	숙소	NNG
전주 여행	17	13	SN
전주 여행	17	만	NR
전주 여행	17	원	NNBC
전주 여행	17	은	JX
전주 여행	17	적당	XR
전주 여행	17	합니다	XSA+EC
전주 여행	18	1	SN
전주 여행	18	박	NNBC
전주 여행	18	2	SN
전주 여행	18	일	NNBC
전주 여행	18	커플	NNG
전주 여행	18	에	JKB
전주 여행	18	대해	VV+EC
전주 여행	18	도움	NNG
전주 여행	18	을	JKO
전주 여행	18	드릴게요	VV+EC
전주 여행	18	1	SN
전주 여행	18	남자	NNG
전주 여행	18	친구	NNG
전주 여행	18	의	JKG
전주 여행	18	차	NNG
전주 여행	18	를	JKO
전주 여행	18	이용	NNG
전주 여행	18	할지	XSV+EC
전주 여행	18	KTX	SL
전주 여행	18	를	JKO
전주 여행	18	이용	NNG
전주 여행	18	할지	XSV+EC
전주 여행	18	에	JKB
전주 여행	18	대해서	VV+EC
전주 여행	18	는	JX
전주 여행	18	여러	MM
